Country,Area,Continent,Parameter,Age,Sex,Variable,SIGICategories,Categories,Value,Average,Latitude,Longitude
Brunei Darussalam,South-eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,6.92,-3.9783,9.7741
Brunei Darussalam,South-eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,6.92,-3.9783,9.7741
Brunei Darussalam,South-eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,6.92,-3.9783,9.7741
Brunei Darussalam,South-eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,6.92,-3.9783,9.7741
Brunei Darussalam,South-eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,6.92,-3.9783,9.7741
Brunei Darussalam,South-eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,6.92,-3.9783,9.7741
Brunei Darussalam,South-eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,96.8,6.92,-3.9783,9.7741
Brunei Darussalam,South-eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,6.92,-3.9783,9.7741
Cambodia,South-eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,31.3,33.12,4.0152,60.3661
Cambodia,South-eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,64.8,33.12,4.0152,60.3661
Cambodia,South-eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,61.5,33.12,4.0152,60.3661
Cambodia,South-eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,72.6,33.12,4.0152,60.3661
Cambodia,South-eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,54.2,33.12,4.0152,60.3661
Cambodia,South-eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,54,33.12,4.0152,60.3661
Cambodia,South-eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,33.12,4.0152,60.3661
Cambodia,South-eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,33.12,4.0152,60.3661
Cambodia,South-eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,33.12,4.0152,60.3661
Cambodia,South-eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,33.12,4.0152,60.3661
Cambodia,South-eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,33.12,4.0152,60.3661
Cambodia,South-eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,33.12,4.0152,60.3661
Cambodia,South-eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,84.4,33.12,4.0152,60.3661
Cambodia,South-eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,33.12,4.0152,60.3661
Indonesia,South-eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,51.7,54.6,4.1755,37.5093
Indonesia,South-eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,72.9,54.6,4.1755,37.5093
Indonesia,South-eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,49.6,54.6,4.1755,37.5093
Indonesia,South-eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,74.8,54.6,4.1755,37.5093
Indonesia,South-eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,41.4,54.6,4.1755,37.5093
Indonesia,South-eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,79.8,54.6,4.1755,37.5093
Indonesia,South-eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,62.4,54.6,4.1755,37.5093
Indonesia,South-eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,54.6,4.1755,37.5093
Indonesia,South-eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,27.8,54.6,4.1755,37.5093
Indonesia,South-eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,24.2,54.6,4.1755,37.5093
Indonesia,South-eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,88.9,54.6,4.1755,37.5093
Indonesia,South-eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,37.3,54.6,4.1755,37.5093
Indonesia,South-eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,90.7,54.6,4.1755,37.5093
Indonesia,South-eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,54.6,4.1755,37.5093
Laos ,South-eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,37.9,31.5,21.6392,-22.0029
Laos ,South-eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,52,31.5,21.6392,-22.0029
Laos ,South-eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,31.5,21.6392,-22.0029
Laos ,South-eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,95,31.5,21.6392,-22.0029
Laos ,South-eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,31.5,21.6392,-22.0029
Laos ,South-eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,70,31.5,21.6392,-22.0029
Laos ,South-eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,31.5,21.6392,-22.0029
Laos ,South-eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,31.5,21.6392,-22.0029
Laos ,South-eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,31.5,21.6392,-22.0029
Laos ,South-eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,31.5,21.6392,-22.0029
Laos ,South-eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,31.5,21.6392,-22.0029
Laos ,South-eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,31.5,21.6392,-22.0029
Laos ,South-eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,76.5,31.5,21.6392,-22.0029
Laos ,South-eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,31.5,21.6392,-22.0029
Malaysia,South-eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,87.5,53.9,32.9028,-17.4964
Malaysia,South-eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,43.6,53.9,32.9028,-17.4964
Malaysia,South-eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,53.9,32.9028,-17.4964
Malaysia,South-eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,78.6,53.9,32.9028,-17.4964
Malaysia,South-eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,53.9,32.9028,-17.4964
Malaysia,South-eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,44.7,53.9,32.9028,-17.4964
Malaysia,South-eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,70.9,53.9,32.9028,-17.4964
Malaysia,South-eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,53.9,32.9028,-17.4964
Malaysia,South-eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,41.7,53.9,32.9028,-17.4964
Malaysia,South-eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,52.2,53.9,32.9028,-17.4964
Malaysia,South-eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,68.8,53.9,32.9028,-17.4964
Malaysia,South-eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,55.8,53.9,32.9028,-17.4964
Malaysia,South-eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,94,53.9,32.9028,-17.4964
Malaysia,South-eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,53.9,32.9028,-17.4964
Myanmar,South-eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,34.9,44.7,21.0783,-28.978
Myanmar,South-eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,43.8,44.7,21.0783,-28.978
Myanmar,South-eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,54,44.7,21.0783,-28.978
Myanmar,South-eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,40.7,44.7,21.0783,-28.978
Myanmar,South-eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,48.3,44.7,21.0783,-28.978
Myanmar,South-eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,85.6,44.7,21.0783,-28.978
Myanmar,South-eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,43.8,44.7,21.0783,-28.978
Myanmar,South-eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,44.7,21.0783,-28.978
Myanmar,South-eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,30.1,44.7,21.0783,-28.978
Myanmar,South-eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,18.4,44.7,21.0783,-28.978
Myanmar,South-eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,45.4,44.7,21.0783,-28.978
Myanmar,South-eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,30.6,44.7,21.0783,-28.978
Myanmar,South-eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,87.4,44.7,21.0783,-28.978
Myanmar,South-eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,44.7,21.0783,-28.978
Philippines,South-eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,40.9,49.5,-15.1609,27.5012
Philippines,South-eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,65.3,49.5,-15.1609,27.5012
Philippines,South-eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,31.8,49.5,-15.1609,27.5012
Philippines,South-eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,71,49.5,-15.1609,27.5012
Philippines,South-eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,11.6,49.5,-15.1609,27.5012
Philippines,South-eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,46.4,49.5,-15.1609,27.5012
Philippines,South-eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,72.6,49.5,-15.1609,27.5012
Philippines,South-eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,49.5,-15.1609,27.5012
Philippines,South-eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,43.5,49.5,-15.1609,27.5012
Philippines,South-eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,30.9,49.5,-15.1609,27.5012
Philippines,South-eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,53.5,49.5,-15.1609,27.5012
Philippines,South-eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,56.7,49.5,-15.1609,27.5012
Philippines,South-eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,91.5,49.5,-15.1609,27.5012
Philippines,South-eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,49.5,-15.1609,27.5012
Singapore,South-eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,96.9,74.1,39.4326,-99.1332
Singapore,South-eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,92.9,74.1,39.4326,-99.1332
Singapore,South-eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,74.1,39.4326,-99.1332
Singapore,South-eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,91.4,74.1,39.4326,-99.1332
Singapore,South-eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,74.1,39.4326,-99.1332
Singapore,South-eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,86.2,74.1,39.4326,-99.1332
Singapore,South-eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,78.5,74.1,39.4326,-99.1332
Singapore,South-eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,74.1,39.4326,-99.1332
Singapore,South-eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,69,74.1,39.4326,-99.1332
Singapore,South-eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,72.1,74.1,39.4326,-99.1332
Singapore,South-eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,64.4,74.1,39.4326,-99.1332
Singapore,South-eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,76.6,74.1,39.4326,-99.1332
Singapore,South-eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,99.6,74.1,39.4326,-99.1332
Singapore,South-eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,74.1,39.4326,-99.1332
Thailand,South-eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,92.1,62.4,48.0105,5.8638
Thailand,South-eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,54.8,62.4,48.0105,5.8638
Thailand,South-eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,62.4,48.0105,5.8638
Thailand,South-eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,52.3,62.4,48.0105,5.8638
Thailand,South-eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,62.4,48.0105,5.8638
Thailand,South-eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,92,62.4,48.0105,5.8638
Thailand,South-eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,69.1,62.4,48.0105,5.8638
Thailand,South-eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,62.4,48.0105,5.8638
Thailand,South-eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,53.9,62.4,48.0105,5.8638
Thailand,South-eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,68.7,62.4,48.0105,5.8638
Thailand,South-eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,61.3,62.4,48.0105,5.8638
Thailand,South-eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,58.8,62.4,48.0105,5.8638
Thailand,South-eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,90.4,62.4,48.0105,5.8638
Thailand,South-eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,62.4,48.0105,5.8638
Timor-Leste,South-eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,65,43.3,45.222,52.8512
Timor-Leste,South-eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,none,43.3,45.222,52.8512
Timor-Leste,South-eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,86.6,43.3,45.222,52.8512
Timor-Leste,South-eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,none,43.3,45.222,52.8512
Timor-Leste,South-eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,70.4,43.3,45.222,52.8512
Timor-Leste,South-eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,31,43.3,45.222,52.8512
Timor-Leste,South-eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,43.3,45.222,52.8512
Timor-Leste,South-eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,43.3,45.222,52.8512
Timor-Leste,South-eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,43.3,45.222,52.8512
Timor-Leste,South-eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,43.3,45.222,52.8512
Timor-Leste,South-eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,43.3,45.222,52.8512
Timor-Leste,South-eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,43.3,45.222,52.8512
Timor-Leste,South-eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,91.8,43.3,45.222,52.8512
Timor-Leste,South-eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,43.3,45.222,52.8512
Viet Nam,South-eastern Asia,Asia,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,29.5,43.3,42.4411,19.2636
Viet Nam,South-eastern Asia,Asia,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,61.4,43.3,42.4411,19.2636
Viet Nam,South-eastern Asia,Asia,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,43.3,42.4,19.2636
Viet Nam,South-eastern Asia,Asia,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,87.8,43.3,42.4411,19.2636
Viet Nam,South-eastern Asia,Asia,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,43.3,42.4,19.2636
Viet Nam,South-eastern Asia,Asia,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,43.1,43.3,42.4411,19.2636
Viet Nam,South-eastern Asia,Asia,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,52.9,43.3,42.4411,19.2636
Viet Nam,South-eastern Asia,Asia,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,43.3,4244.11 ,19.2636
Viet Nam,South-eastern Asia,Asia,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,44.8,43.3,42.4411,19.2636
Viet Nam,South-eastern Asia,Asia,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,48,43.3,42.4411,19.2636
Viet Nam,South-eastern Asia,Asia,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,21.7,43.3,42.4411,19.2636
Viet Nam,South-eastern Asia,Asia,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,58.5,43.3,42.4411,19.2636
Viet Nam,South-eastern Asia,Asia,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,92.6,43.3,42.4411,19.2636
Viet Nam,South-eastern Asia,Asia,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,43.3,42.4,19.2636
Botswana,Southern Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,41.1,22.18,27.0209,-26.8416
Botswana,Southern Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,29,22.18,27.0209,-26.8416
Botswana,Southern Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,22.18,27.0209,-26.8416
Botswana,Southern Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,76.3,22.18,27.0209,-26.8416
Botswana,Southern Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,22.18,27.0209,-26.8416
Botswana,Southern Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,76.9,22.18,27.0209,-26.8416
Botswana,Southern Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,22.18,27.0209,-26.8416
Botswana,Southern Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,22.18,27.0209,-26.8416
Botswana,Southern Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,22.18,27.0209,-26.8416
Botswana,Southern Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,22.18,27.0209,-26.8416
Botswana,Southern Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,22.18,27.0209,-26.8416
Botswana,Southern Africa,Africa,Perceptions that men don't necessarily make better business executives than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,22.18,27.0209,-26.8416
Botswana,Southern Africa,Africa,Percentage of women not in a child marriage,From 15 to 19 years,Female,Practices,Child marriage,General violence,87.2,22.18,27.0209,-26.8416
Botswana,Southern Africa,Africa,Non genital-mutilated women percentage,From 15 to 49 years,Female,Practices,Female genital mutilation,General violence,none,22.18,27.0209,-26.8416
Eswatini,Southern Africa,Africa,Bank account ownership,15 years or over,Female,Practices,Access to financial assets,Economic rights,none,20.5,-8.9655,10.5892
Eswatini,Southern Africa,Africa,Feeling of safety at night,15 years or over,Female,Practices,Freedom of movement,Freedom and justice,36.6,20.5,-8.9655,10.5892
Eswatini,Southern Africa,Africa,House ownership,15 years or over,Female,Practices,Access to non-land assets,Economic rights,none,20.5,-8.9655,10.5892
Eswatini,Southern Africa,Africa,Confidence in the judicial system and courts,15 years or over,Female,Practices,Access to justice,Freedom and justice,80.1,20.5,-8.9655,10.5892
Eswatini,Southern Africa,Africa,Land ownership,15 years or over,Female,Practices,Access to land assets,Economic rights,none,20.5,-8.9655,10.5892
Eswatini,Southern Africa,Africa,Perception that a husband is not justified in hitting or beating his wife under any circumstances,From 15 to 49 years,Female,Attitudes,Violence against women,General violence ,68,20.5,-8.9655,10.5892
Eswatini,Southern Africa,Africa,Perception that a woman earning more money than her husband doesn't cause any problems,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,20.5,-8.9655,10.5892
Eswatini,Southern Africa,Africa,Perception that female genital mutilation should stop,From 15 to 49 years,Female,Attitudes,Female genital mutilation,General violence,none,20.5,-8.9655,10.5892
Eswatini,Southern Africa,Africa,Perception that men don't necessarily make better political leaders than women,18 years or over,Total,Attitudes,Political voice,Freedom and justice,none,20.5,-8.9655,10.5892
Eswatini,Southern Africa,Africa,Perception that men shouldn't have more right to a job than women,18 years or over,Total,Attitudes,Workplace rights,Social rights,none,20.5,-8.9655,10.5892
Eswatini,Southern Africa,Africa,Perception that children sufference isn't a consequence of a mother working for pay,18 years or over,Total,Attitudes,Household responsibilities,Social rights,none,20.5,-8.9655,10.5892
